Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Started in,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,BluePineFoods,1,1,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Food,Frozen Momos,2016,3,2,1,0,Middle,Delhi,Delhi,95,8,0,0,0,no,0,no,funded,50,5,1000,Yes,Yes,75,16,0,0,469,3,no,No,0,0,0,0,25,5.33,0,0,0,0,25,5.33,0,0,0,0,0,0,0,0,0,0,25,5.33,0,Ashneer Grover,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,BoozScooters,1,2,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,2017,1,1,0,0,Young,Ahmedabad,Gujarat,4,0.4,0,0,0,no,0,no,funded,40,15,267,Yes,Yes,40,50,0,0,80,2,no,No,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,Ashneer Grover,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,HeartUpMySleeves,1,3,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,2021,1,0,1,0,Young,Delhi,Delhi,0,2,0,0,0,no,0,no,funded,25,10,250,Yes,Yes,25,30,0,0,83,2,no,No,0,0,0,0,12.5,15,0,12.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,TagzFoods,2,4,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food,Healthy Potato Chips Snacks,2019,2,2,0,0,Middle,Bangalore,Karnataka,700,0,48,0,0,no,0,no,funded,70,1,7000,Yes,Yes,70,2.75,0,0,2545,1,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2.75,0,Ashneer Grover,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,HeadAndHeart,2,5,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Education,Brain Development Course,2015,4,1,3,1,Middle,Patiala,Punjab,30,0,0,0,0,no,0,no,funded,50,5,1000,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Agritourism,2,6,20-Dec-21,04-Feb-22,21-Dec-21,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,2005,2,1,1,1,Middle,Baramati,Maharashtra,79,0,0,0,0,no,0,no,funded,50,5,1000,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,qZenseLabs,3,7,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food,Food Freshness Detector,2020,2,0,2,0,Middle,"Delhi,Mohali","Delhi,Punjab",25,15,0,0,0,no,0,yes,funded,100,0.25,40000,Yes,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,Peeschute,3,8,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,2019,1,1,0,0,Young,Jalna,Maharashtra,100,0,0,0,0,no,2,no,funded,75,4,1875,Yes,Yes,75,6,0,0,1250,1,no,No,0,0,0,0,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,NOCD,3,9,20-Dec-21,04-Feb-22,22-Dec-21,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food,Energy Drink,2019,2,2,0,0,Middle,Bangalore,Karnataka,0,20,0,0,0,no,0,no,funded,50,2,2500,Yes,Yes,20,15,30,0,133,1,yes,No,0,0,0,0,20,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,CosIQ,4,10,20-Dec-21,04-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,2021,2,1,1,1,Middle,Delhi,Delhi,0,4,75,20,0,no,8,no,funded,50,7.5,667,Yes,Yes,50,25,0,0,200,2,no,No,0,0,0,0,25,12.5,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
